case_id,trace
822,11 12 12 12 12 12 12 72
823,11 12 12 19 20 30 3
824,11 12 12 12 12 12 22 20 34 3
825,11 12 12 12 12 12 12 72
826,1 2 3
827,1 7 26 3
828,11 12 12 12 12 12 12 72
829,11 12 12 12 12 12 12 72
830,11 12 12 12 12 12 12 72
831,11 12 12 12 12 12 12 72
832,11 12 12 12 12 12 12 72
833,11 12 12 12 12 12 12 72
834,11 12 12 12 12 12 12 72
835,11 12 12 12 12 12 12 72
836,11 12 12 12 12 12 12 72
837,1 6 17 53 3
838,11 12 12 12 12 12 12 72
839,11 12 12 12 12 12 12 72
840,11 12 12 12 12 12 12 72
841,11 12 12 12 12 12 12 72
842,1 2 3
843,1 2 3
844,1 6 55 3
845,1 6 3
846,1 7 23 54 20 83 3
847,1 2 3
848,1 6 57 3
849,1 7 3
850,1 9 58 3
851,1 2 3
852,1 6 27 56 3
853,1 7 3
854,1 9 3
855,1 2 3
856,1 6 41 3
857,1 7 14 69 3
858,11 12 13 30 3
859,11 12 16 83 3
860,11 12 12 12 12 12 12 72
861,11 12 12 12 12 12 12 72
862,11 12 12 12 12 12 12 72
863,11 12 12 12 12 12 12 72
864,1 2 17 36 3
865,1 6 3
866,11 12 22 73 3
867,1 7 23 18 3
868,1 9 29 3
869,11 12 12 12 12 12 12 72
870,11 12 12 12 12 12 12 72
871,11 12 12 12 12 12 12 72
872,11 12 12 12 12 12 12 72
873,1 2 3
874,11 12 12 12 12 12 12 72
875,11 12 12 12 12 12 12 72
876,11 12 12 12 12 12 12 72
877,11 12 12 12 12 12 12 72
878,11 12 12 12 12 12 12 72
879,11 12 12 12 12 12 12 72
880,11 12 12 12 12 12 12 72
881,11 12 12 12 12 12 12 72
882,11 12 12 12 12 12 12 72
883,11 12 12 12 12 12 12 72
884,11 12 12 12 12 12 12 72
885,11 12 12 12 12 12 12 72
886,11 12 12 12 12 12 12 72
887,11 12 12 12 12 12 12 72
888,11 12 12 12 12 12 12 72
889,1 2 3
890,1 6 3
891,1 7 23 66 3
892,1 9 47 3
893,1 75 3
894,1 76 38 3
895,1 84 27 31 3
896,1 2 14 60 3
897,1 6 3
898,1 7 3
899,1 2 63 3
900,1 2 3
901,1 6 64 3
902,1 9 3
903,1 2 3
904,1 6 33 3
905,1 7 52 3
906,1 9 74 3
907,1 6 3
908,1 2 68 3
909,1 7 17 77 3
910,1 9 78 3
911,1 75 20 25 3
912,1 6 59 3
913,11 12 12 12 13 23 24 3
914,11 12 12 12 16 14 77 3
915,11 12 12 12 19 27 8 3
916,11 12 12 12 22 30 3
917,11 12 12 12 12 16 23 52 3
918,11 12 12 12 12 19 21 3
919,1 2 3
920,11 12 12 12 12 22 27 43 3
921,1 6 3
922,11 12 12 12 12 12 12 13 34 3
923,11 12 12 12 12 12 12 72
924,11 12 12 12 12 12 12 72
925,11 12 12 12 12 12 12 72
926,11 12 12 12 12 12 12 72
927,11 12 12 12 12 12 12 72
928,11 12 12 12 12 12 12 72
929,11 12 12 12 12 12 12 72
930,11 12 12 12 12 12 12 72
931,11 12 12 12 12 12 12 72
932,11 12 12 12 12 12 12 72
933,11 12 12 12 12 12 12 72
934,11 12 12 12 12 12 12 72
935,11 12 12 12 12 12 12 72
936,11 12 12 12 12 12 12 72
937,1 2 3
938,11 12 12 12 12 12 12 72
939,11 12 12 12 12 12 12 72
940,11 12 12 12 12 12 12 72
941,1 6 3
942,1 7 3
943,11 12 12 12 12 12 12 72
944,11 12 12 12 12 12 12 72
945,1 2 3
946,11 12 12 12 12 12 12 72
947,11 12 12 12 12 12 12 72
948,11 12 12 12 12 12 12 72
949,11 12 12 12 12 12 12 72
950,11 12 12 12 12 12 12 72
951,1 6 3
952,11 12 12 12 12 12 12 72
953,1 7 23 33 3
954,1 9 3
955,1 2 3
956,1 6 49 3
957,1 2 3
958,1 6 47 3
959,1 2 59 3
960,1 7 38 3
961,1 2 3
962,1 6 3
963,1 7 3
964,1 6 57 3
965,1 2 65 3
966,1 6 3
967,1 2 27 68 3
968,1 6 3
969,1 2 63 3
970,1 2 55 3
971,1 6 4 3
972,1 7 3
973,1 2 14 52 3
974,1 6 17 74 3
975,1 7 20 78 3
976,1 2 3
977,1 6 23 4 3
978,1 7 5 3
979,1 2 3
980,1 9 10 3
981,1 2 26 3
982,1 6 37 3
983,1 7 8 3
984,1 2 3
985,1 6 53 3
986,1 7 3
987,1 9 55 3
988,1 75 57 3
989,1 2 3
990,1 6 3
991,1 7 58 3
992,1 9 14 79 3
993,1 2 56 3
994,1 6 41 3
995,1 7 54 3
996,1 6 3
997,1 7 17 25 14 49 3
998,1 2 3
999,1 2 3
1000,1 6 29 3
1001,1 2 69 3
